"","AAA","AA","A","BBB"
"","b/se","b/se","b/se","b/se"
"ATT","-0.0839","-0.0034","-0.0922","-0.0130"
"","0.0915","0.1051","0.0849","0.1476"
"Observations","6897","6897","6897","6897"
